the,1367
first,30
booke,6
of,990
faerie,11
qveene,1
contayning,1
legende,1
knight,174
red,21
crosse,6
or,125
holinesse,3
lo,13
i,189
man,69
whose,86
muse,6
whilome,3
did,483
maske,2
as,316
time,25
her,657
taught,11
in,705
lowly,14
shepheards,2
weeds,1
am,6
now,120
enforst,3
a,396
far,27
vnfitter,1
taske,1
for,364
trumpets,2
sterne,9
to,1172
chaunge,7
mine,24
oaten,2
reeds,1
and,1816
sing,5
knights,19
ladies,21
gentle,34
deeds,4
prayses,2
hauing,13
slept,6
silence,8
long,89
me,83
all,413
too,43
meane,3
sacred,18
areeds,1
blazon,1
broad,12
emongst,7
learned,7
throng,1
fierce,28
warres,5
faithfull,14
loues,15
shall,39
moralize,1
my,144
song,4
helpe,12
then,170
o,47
holy,19
virgin,20
chiefe,2
nine,4
thy,71
weaker,11
nouice,1
performe,2
will,35
lay,46
forth,88
out,66
thine,11
euerlasting,6
scryne,1
antique,5
rolles,1
which,259
there,79
lye,7
hidden,17
still,66
fairest,11
tanaquill,1
whom,78
that,917
most,55
noble,19
briton,2
prince,16
so,294
sought,11
through,102
world,30
suffered,2
much,40
ill,20
must,8
rue,1
his,970
vndeserued,2
wrong,8
thou,60
weake,16
wit,13
sharpen,1
dull,11
tong,6
dreaded,9
impe,2
highest,11
ioue,10
faire,130
venus,5
sonne,21
with,654
cruell,36
dart,8
at,148
good,42
cunningly,4
didst,3
roue,1
glorious,14
fire,31
it,156
kindled,3
hart,54
deadly,36
heben,2
bow,4
apart,2
mother,10
milde,4
come,29
ayde,4
both,69
you,63
bring,15
triumphant,2
mart,2
iollities,1
arrayd,1
after,45
murdrous,2
spoiles,1
bloudy,19
rage,25
allayd,1
them,135
eke,46
goddesse,4
heauenly,33
bright,27
mirrour,1
grace,33
maiestie,3
diuine,6
great,127
lady,34
greatest,12
isle,1
light,53
like,104
phoebus,14
lampe,5
throughout,6
doth,94
shine,7
shed,8
beames,7
into,42
feeble,23
eyne,5
raise,4
thoughts,6
humble,7
vile,9
thinke,15
true,22
type,1
argument,1
afflicted,1
stile,1
heare,24
vouchsafe,2
dearest,14
dred,3
while,24
canto,1
patron,1
foule,15
errour,4
defeate,1
hypocrisie,1
him,390
entrappe,1
home,7
entreate,1
was,325
pricking,2
on,163
plaine,20
y,1
cladd,1
mightie,17
armes,34
siluer,13
shielde,1
wherein,18
old,43
dints,1
deepe,32
wounds,10
remaine,7
markes,2
many,61
fielde,1
yet,124
till,54
he,744
neuer,71
wield,3
angry,10
steede,6
chide,1
foming,4
bitt,1
disdayning,1
curbe,1
yield,10
full,74
iolly,4
seemd,23
sitt,3
one,63
knightly,3
giusts,1
encounters,2
fitt,1
but,301
brest,24
bloudie,14
bore,14
deare,66
remembrance,3
dying,8
lord,30
