Paradise	Paradise	np1	Paradise	Paradise	0
Lost.	Lost.	vvn	Lost.	lose	0
A	A	dt	A	a	0
POEM	POEM	n1	POEM	poem	0
IN	IN	p-acp	IN	in	0
TWELVE	TWELVE	crd	TWELVE	twelve	0
BOOKS	BOOKS	n2	BOOKS	book	0
.	.	.	.	.	1
The	The	dt	The	the	0
Author	Author	n1	Author	author	0
JOHN	JOHN	np1	JOHN	John	0
MILTON	MILTON	np1	MILTON	Milton	0
.	.	.	.	.	1
The	The	dt	The	the	0
Second	Second	ord	Second	second	0
Edition	Edition	n1	Edition	edition	0
Revised	Revised	vvn	Revised	revise	0
and	and	cc	and	and	0
Augmented	Augmented	vvn	Augmented	augment	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
Author	Author	n1	Author	author	0
.	.	.	.	.	1
LONDON	LONDON	np1	LONDON	London	0
,	,	,	,	,	0
Printed	Printed	vvn	Printed	print	0
by	by	p-acp	by	by	0
S.	S.	n1	S.	saint	0
Simmons	Simmons	np1	Simmons	Simmons	0
next	next	ord	next	next	0
door	door	n1	door	door	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Golden	Golden	j	Golden	golden	0
Lion	Lion	n1	Lion	lion	0
in	in	p-acp	in	in	0
Aldersgate-street	Aldersgate-street	n1	Aldersgate-street	aldersgate-street	0
,	,	,	,	,	0
1674.	1674.	crd	1674.	1674.	1
IN	IN	p-acp	IN	in	0
Paradisum	Paradisum	fw-la	Paradisum	paradisum	0
Amissam	Amissam	np1	Amissam	Amissam	0
Summi	Summi	fw-la	Summi	summi	0
Poetae	Poetae	fw-la	Poetae	poetae	0
JOHANNIS	JOHANNIS	np1	JOHANNIS	Johannis	0
MILTONI	MILTONI	np1	MILTONI	MILTONI	0
.	.	.	.	.	1
QƲilegis	QƲilegis	np1	QƲilegis	QƲilegis	0
Amissam	Amissam	np1	Amissam	Amissam	0
Paradisum	Paradisum	fw-la	Paradisum	paradisum	0
,	,	,	,	,	0
grandia	grandia	fw-it	grandia	grandia	0
magni	magni	fw-la	magni	magni	0
Carmina	Carmina	np1	Carmina	Carmina	0
Miltoni	Miltoni	np1	Miltoni	Miltoni	0
,	,	,	,	,	0
quid	quid	fw-la	quid	quid	0
nisi	nisi	fw-la	nisi	nisi	0
cuncta	cuncta	fw-la	cuncta	cuncta	0
legis	legis	fw-la	legis	legis	0
▪	▪	▪	▪	▪	0
Res	Res	fw-la	Res	res	0
cunctas	cunctas	fw-la	cunctas	cunctas	0
,	,	,	,	,	0
&	&	cc	&	and	0
cunctarum	cunctarum	fw-la	cunctarum	cunctarum	0
primordia	primordia	fw-la	primordia	primordia	0
rerum	rerum	fw-la	rerum	rerum	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
fata	fata	fw-la	fata	fata	0
,	,	,	,	,	0
&	&	cc	&	and	0
fines	fines	n2	fines	fine	0
continet	continet	n1	continet	continet	0
iste	iste	fw-la	iste	iste	0
liber	liber	fw-la	liber	libre	0
.	.	.	.	.	1
Intima	Intima	np1	Intima	Intima	0
panduntur	panduntur	fw-la	panduntur	panduntur	0
magni	magni	fw-la	magni	magni	0
penetralia	penetralia	fw-la	penetralia	penetralia	0
mundi	mundi	fw-la	mundi	mundi	0
,	,	,	,	,	0
Scribitur	Scribitur	fw-la	Scribitur	scribitur	0
&	&	cc	&	and	0
toto	toto	fw-la	toto	toto	0
quicquid	quicquid	fw-la	quicquid	quicquid	0
in	in	p-acp	in	in	0
Orbe	Orbe	fw-la	Orbe	orbe	0
latet	latet	fw-la	latet	latet	0
.	.	.	.	.	1
Terraeque	Terraeque	fw-la	Terraeque	terraeque	0
,	,	,	,	,	0
tractusque	tractusque	fw-la	tractusque	tractusque	0
maris	maris	fw-la	maris	maris	0
,	,	,	,	,	0
coelumque	coelumque	fw-la	coelumque	coelumque	0
profundum	profundum	fw-la	profundum	profundum	0
Sulphureumque	Sulphureumque	fw-la	Sulphureumque	sulphureumque	0
Erebi	Erebi	np1	Erebi	Erebi	0
,	,	,	,	,	0
stammivomumque	stammivomumque	fw-la	stammivomumque	stammivomumque	0
specus	specus	fw-la	specus	specus	0
.	.	.	.	.	1
Quaeque	Quaeque	fw-la	Quaeque	quaeque	0
colunt	colunt	fw-la	colunt	colunt	0
terras	terras	fw-la	terras	terras	0
,	,	,	,	,	0
Portumque	Portumque	fw-la	Portumque	portumque	0
&	&	cc	&	and	0
Tartara	Tartara	np1	Tartara	Tartara	0
caeca	caeca	n1	caeca	caeca	0
,	,	,	,	,	0
Quaeque	Quaeque	fw-la	Quaeque	quaeque	0
colunt	colunt	fw-la	colunt	colunt	0
summi	summi	fw-la	summi	summi	0
lucida	lucida	fw-la	lucida	lucida	0
regna	regna	fw-la	regna	regna	0
Poli.	Poli.	np1	Poli.	Poli.	1
Et	Et	fw-la	Et	et	0
quodcunque	quodcunque	fw-la	quodcunque	quodcunque	0
ullis	ullis	fw-la	ullis	ullis	0
conclusum	conclusum	fw-la	conclusum	conclusum	0
est	est	fw-la	est	est	0
finibus	finibus	fw-la	finibus	finibus	0
usquam	usquam	fw-la	usquam	usquam	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
sine	sine	fw-la	sine	sine	0
fine	fine	fw-la	fine	fine	0
Chaos	Chaos	n1	Chaos	chaos	0
,	,	,	,	,	0
&	&	cc	&	and	0
sine	sine	fw-la	sine	sine	0
fine	fine	fw-la	fine	fine	0
Deus	Deus	fw-la	Deus	deus	0
:	:	:	:	:	0
Et	Et	fw-la	Et	et	0
sine	sine	fw-la	sine	sine	0
fine	fine	fw-la	fine	fine	0
magis	magis	fw-la	magis	magis	0
,	,	,	,	,	0
si	si	fw-la	si	si	0
quid	quid	fw-la	quid	quid	0
magis	magis	fw-la	magis	magis	0
est	est	fw-la	est	est	0
sine	sine	fw-la	sine	sine	0
fine	fine	fw-la	fine	fine	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
Christo	Christo	fw-la	Christo	christo	0
erga	erga	fw-la	erga	erga	0
homines	homines	fw-la	homines	homines	0
conciliatus	conciliatus	fw-la	conciliatus	conciliatus	0
amor	amor	fw-la	amor	amor	0
.	.	.	.	.	1
Haec	Haec	fw-la	Haec	haec	0
qui	qui	fw-la	qui	qui	0
speraret	speraret	fw-la	speraret	speraret	0
quis	quis	fw-la	quis	quis	0
crederet	crederet	fw-la	crederet	crederet	0
esse	esse	fw-la	esse	esse	0
futurum	futurum	fw-la	futurum	futurum	0
?	?	?	?	?	1
Et	Et	fw-la	Et	et	0
tamen	tamen	fw-la	tamen	tamen	0
haec	haec	fw-la	haec	haec	0
hodie	hodie	fw-la	hodie	hodie	0
terra	terra	fw-la	terra	terra	0
Britanna	Britanna	np1	Britanna	Britanna	0
legit	legit	fw-la	legit	legit	0
.	.	.	.	.	1
O	O	sy	O	o	0
quantos	quantos	n2	quantos	quanto	0
in	in	p-acp	in	in	0
bella	bella	fw-la	bella	bella	0
Duces	Duces	fw-la	Duces	duces	0
!	!	!	!	!	0
